feature,proxy_capacity,proxy_use,proxy_risk
PAY_AMT1,0.1358,0.056,0.0076
PAY_AMT6,0.0623,0.072,0.0045
EDUCATION,0.0264,0.066,0.0017
PAY_5,0.0334,0.026,0.0009
MARRIAGE,0.0165,0.032,0.0005
LIMIT_BAL,0.0106,0.048,0.0005
AGE,0.0,0.025,0.0
PAY_0,0.0,0.056,0.0
PAY_2,0.0,0.056,0.0
PAY_3,0.0,0.08,0.0
PAY_4,0.0,0.048,0.0
PAY_6,0.0,0.057,0.0
BILL_AMT1,0.0,0.04,0.0
BILL_AMT2,0.0,0.041,0.0
BILL_AMT3,0.0,0.064,0.0
BILL_AMT4,0.0,0.056,0.0
BILL_AMT5,0.0,0.048,0.0
BILL_AMT6,0.0,0.056,0.0
PAY_AMT2,0.0,0.048,0.0
PAY_AMT3,0.0,0.08,0.0
PAY_AMT4,0.0,0.08,0.0
PAY_AMT5,0.0,0.056,0.0
