feature,proxy_capacity,proxy_use,proxy_risk
age,0.0889,0.34,0.0302
property,0.0795,0.376,0.0299
housing,0.0844,0.327,0.0276
credit-amount,0.0739,0.332,0.0245
checking-account,0.0776,0.313,0.0243
numner-people-provide-maintenance-for,0.0624,0.344,0.0215
purpose,0.0579,0.313,0.0181
employment-since,0.033,0.326,0.0108
job,0.0386,0.265,0.0102
installment-rate,0.0221,0.315,0.007
residence-since,0.0187,0.305,0.0057
savings-account,0.0129,0.28,0.0036
duration,0.0,0.374,0.0
credit-history,0.0,0.274,0.0
other-debtors,0.0,0.265,0.0
other-installment,0.0,0.33,0.0
existing-credits,0.0,0.282,0.0
telephone,0.0,0.272,0.0
foreign-worker,0.0,0.277,0.0
marital-status,0.0,0.329,0.0
