feature,proxy_capacity,proxy_use,proxy_risk
number-people-provide-maintenance-for,0.0539,0.1699,0.0092
installment-rate,0.0372,0.1784,0.0066
job,0.0269,0.1812,0.0049
existing-credits,0.0271,0.1764,0.0048
savings-account,0.0252,0.1818,0.0046
age,0.0215,0.1743,0.0037
checking-account,0.016,0.2047,0.0033
telephone,0.0176,0.1826,0.0032
housing,0.0076,0.1631,0.0012
other-debtors,0.0066,0.1736,0.0011
credit-amount,0.0063,0.1758,0.0011
duration,0.0046,0.1773,0.0008
foreign-worker,0.0042,0.1683,0.0007
residence-since,0.0032,0.172,0.0005
other-installment,0.002,0.1676,0.0003
purpose,0.0019,0.1714,0.0003
employment-since,0.0002,0.1905,0.0
credit-history,0.0,0.2092,0.0
property,0.0,0.175,0.0
marital-status,0.0,0.1848,0.0
